id,sex,semestre,carrera,tipo_colegio,pps_actual_20,pps_anterior_20,horas_de_estudio_semana,horas_trabajo_semana,horas_deporte,horas_cultura,horas_extracurriculares,horas_sueno,estres,apoyo_social,autoeficacia_academica,entregas_tarea_puntual,ingresos_mensual_cat,tipo_financiamiento,costo_servicio_mensual_cat,horas_pantalla_no_academica,deuda_academica_label,puntualidad_pago_label,indice_financiero,rendimiento,asistencia_total_pct,asistencia_teorico_pct,asistencia_laboratorio_pct,indice_procrastinacion,alimentacion,phc_score,tiene_hijos,riesgo_de_desercion,bienestar_estudiantil,actividad_fisica
178,M,3,Salud,Publico,12.22,10.59,9.21,70.01,21.56,63.64,80.0,23.09,20.65,23.15,32.7,49.44,Muy_bajo,Pago_directo,Bajo,8.7,Con deuda,Impuntual,3.76,56.78,42.39,34.63,60.51,61.48,3.59,32.28,0,64.83244499773856,97.49603275024604,21.56
179,F,8,Ingenieria,Concertado,13.75,14.2,13.85,77.68,22.2,38.17,63.79,12.22,67.22,2.01,37.0,55.01,Muy_bajo,Pago_directo,Bajo,1.59,Sin deuda,Impuntual,40.52,66.25,57.7,65.46,39.57,52.86,2.38,51.03,0,50.62206031559888,70.17561603195944,22.2
180,M,6,Negocios,Publico,13.85,12.62,16.83,14.17,74.67,10.47,80.0,10.87,1.6,0.66,47.37,65.14,Bajo,Financiamiento_familiar,Bajo,23.74,Sin deuda,Puntual,64.39,70.3,58.61,70.93,29.87,40.9,4.1,0.99,0,14.850148656403578,64.78423522997811,74.67
181,M,6,Ciencias_Sociales,Privado,15.38,14.17,16.37,57.77,57.88,18.85,78.83,6.69,66.93,12.04,51.0,88.01,Bajo,Beca_parcial,Bajo,0.94,Sin deuda,Puntual,52.53,82.31,67.04,58.62,86.69,34.63,2.52,71.5,0,26.530454956062783,69.97465275778644,57.88
182,M,2,Ciencias,Publico,18.37,18.31,14.75,3.22,46.17,74.6,80.0,23.01,0.0,58.08,50.09,92.99,Medio,Credito,Bajo,15.72,Con deuda,Puntual,30.98,86.03,47.41,35.72,74.67,31.64,6.64,18.99,0,6.983141190503689,100.0,46.17
183,F,1,Negocios,Concertado,19.48,20.0,15.99,32.43,51.82,68.76,80.0,3.43,36.53,92.88,68.36,80.41,Muy_bajo,Credito,Bajo,10.63,Sin deuda,Puntual,62.56,92.17,66.13,57.71,85.78,25.47,6.44,60.35,0,11.744546785025506,80.548938151503,51.82
184,F,5,Ciencias,Privado,6.89,5.0,3.59,41.3,2.34,56.78,63.98,13.92,9.4,49.67,32.58,54.68,Bajo,Credito,Muy_bajo,22.77,Con deuda,Puntual,21.6,43.85,38.81,34.23,49.5,71.43,4.4,63.54,0,84.21773604153857,73.35644594932795,2.34
185,M,7,Ingenieria,Publico,8.37,6.75,5.12,46.45,49.45,38.58,80.0,6.78,54.5,79.29,53.96,51.53,Bajo,Financiamiento_familiar,Bajo,5.9,Sin deuda,Puntual,52.97,41.65,9.8,8.39,13.09,54.91,3.13,11.97,0,87.51869215663682,81.54251367352366,49.45
186,F,4,Ciencias,Privado,7.58,6.32,5.2,74.87,40.76,41.63,80.0,6.7,57.26,39.59,42.99,64.17,Muy_bajo,Financiamiento_familiar,Muy_bajo,12.77,Con deuda,Impuntual,0.0,61.89,90.38,99.28,69.62,53.8,3.29,83.97,1,57.16782289641393,64.13367633624624,40.76
187,F,4,Ciencias,Concertado,12.12,14.49,6.79,53.78,43.66,78.02,80.0,9.72,53.16,70.86,48.05,59.95,Muy_bajo,Credito,Bajo,11.58,Sin deuda,Puntual,57.57,53.86,15.08,12.72,20.61,37.06,3.47,57.12,0,69.20577363077741,76.94211923945879,43.66
188,F,2,Salud,Publico,14.56,14.05,7.08,38.5,28.75,77.26,80.0,23.97,0.0,73.19,57.32,77.35,Bajo,Credito,Muy_bajo,16.87,Con deuda,Puntual,31.65,66.05,18.3,7.23,44.12,29.12,5.37,33.87,0,50.93208754700205,100.0,28.75
189,F,5,Artes,Publico,9.08,9.57,9.8,64.77,6.52,17.22,24.74,1.32,88.94,12.4,45.01,76.77,Bajo,Pago_directo,Bajo,1.63,Con deuda,Puntual,39.74,62.26,63.45,87.85,6.5,60.16,3.71,9.23,0,95.0,42.70388041619042,6.52
190,M,2,Negocios,Concertado,6.19,4.9,2.88,76.04,15.47,64.89,80.0,13.89,43.09,31.12,33.59,54.23,Bajo,Pago_directo,Bajo,4.65,Con deuda,Impuntual,17.74,43.86,45.89,30.18,82.53,47.37,6.14,85.23,0,84.20594764419053,86.6834318354607,15.47
191,M,2,Ingenieria,Publico,13.05,13.0,12.44,1.77,76.06,15.78,80.0,1.98,19.43,63.73,50.49,83.77,Bajo,Credito,Bajo,5.15,Sin deuda,Puntual,58.22,70.94,49.3,65.03,12.59,35.31,6.66,66.51,0,14.529595318072253,84.95639297462665,76.06
192,F,3,Salud,Concertado,7.1,4.97,3.02,78.6,32.7,17.08,50.34,3.71,100.0,2.07,43.91,52.46,Bajo,Pago_directo,Bajo,17.72,Con deuda,Puntual,27.43,47.79,50.12,32.9,90.31,39.16,3.02,11.8,0,95.0,26.39523723363113,32.7
193,F,3,Salud,Publico,5.97,3.64,5.59,6.89,37.33,54.09,80.0,10.55,14.56,31.15,30.31,55.36,Muy_bajo,Pago_directo,Muy_bajo,4.54,Sin deuda,Impuntual,30.94,45.13,53.33,39.15,86.42,63.42,4.36,29.27,0,27.435373102204164,90.6852084250337,37.33
194,F,2,Ingenieria,Concertado,17.81,17.65,9.06,65.15,4.22,32.4,37.59,12.25,50.36,53.48,42.06,65.65,Bajo,Credito,Bajo,13.76,Sin deuda,Puntual,53.05,73.22,32.29,26.21,46.46,24.8,1.57,71.97,0,40.177055643724294,63.565822942847916,4.22
195,M,1,Salud,Publico,11.25,10.74,14.34,22.43,3.01,74.52,80.0,6.21,27.21,99.62,57.42,68.02,Alto,Credito,Bajo,5.17,Sin deuda,Puntual,92.76,62.46,46.34,34.3,74.44,47.55,2.2,24.57,0,56.313195289962636,93.72930146331211,3.01
196,M,4,Ingenieria,Privado,16.37,14.55,13.31,10.57,57.37,7.12,69.42,7.59,7.79,42.45,60.04,72.19,Bajo,Financiamiento_familiar,Bajo,20.68,Sin deuda,Impuntual,32.65,76.81,47.33,41.07,61.94,21.65,3.48,67.58,0,11.59472008971536,68.2000194657839,57.37
197,F,2,Ingenieria,Privado,11.15,12.09,11.62,35.19,43.05,40.92,80.0,2.09,59.22,76.61,56.47,63.68,Medio,Pago_directo,Bajo,22.61,Con deuda,Puntual,32.28,68.07,74.52,72.04,80.31,54.55,2.24,26.12,0,47.89263528236815,52.568983054561414,43.05
198,F,4,Ingenieria,Privado,8.1,10.56,2.8,51.52,40.7,73.48,80.0,7.28,49.92,38.21,43.82,54.11,Bajo,Pago_directo,Muy_bajo,12.44,Sin deuda,Impuntual,34.81,50.35,48.76,51.15,43.18,64.14,6.26,62.65,0,74.47518137342114,68.0853719810435,40.7
199,F,1,Ciencias,Concertado,16.31,15.79,9.85,30.48,19.45,72.33,80.0,23.2,0.0,79.64,55.7,70.35,Medio,Beca_parcial,Muy_bajo,8.46,Con deuda,Puntual,36.13,86.34,89.62,94.36,78.58,28.86,1.95,20.65,0,20.4923287298462,100.0,19.45
200,F,3,Artes,Publico,8.92,9.54,1.57,4.37,59.58,12.52,72.63,22.67,0.0,59.54,30.39,62.04,Medio,Credito,Bajo,5.62,Sin deuda,Puntual,79.23,45.05,16.81,4.19,46.25,59.8,3.73,3.13,0,27.475107220276605,100.0,59.58
201,F,4,Ciencias,Concertado,13.09,15.4,6.79,47.96,13.46,29.33,43.73,8.04,43.26,83.66,52.38,81.89,Bajo,Financiamiento_familiar,Bajo,1.19,Con deuda,Impuntual,11.57,74.3,63.44,50.31,94.1,40.28,4.63,54.27,1,38.5561889165884,84.62955799725488,13.46
202,M,1,Salud,Publico,11.51,13.17,7.44,72.19,15.19,49.53,67.23,13.7,61.87,36.09,50.93,69.48,Alto,Financiamiento_familiar,Muy_bajo,6.44,Sin deuda,Puntual,100.0,65.11,55.49,58.42,48.64,33.73,5.15,52.6,0,52.334723089694776,76.08086647495668,15.19
203,M,2,Ciencias_Sociales,Publico,4.37,4.19,0.72,30.66,36.86,12.75,53.57,21.83,0.0,60.43,26.96,42.11,Muy_bajo,Beca_parcial,Bajo,15.7,Con deuda,Impuntual,2.45,43.72,78.29,92.02,46.26,73.08,3.3,26.56,0,84.41654044059615,94.13007981714128,36.86
204,F,1,Salud,Publico,6.22,7.41,4.93,17.31,22.9,77.44,80.0,0.15,54.24,58.0,37.14,58.16,Muy_bajo,Pago_directo,Bajo,12.81,Sin deuda,Impuntual,34.15,40.55,26.99,4.92,78.51,47.26,6.21,41.6,0,29.723674517283783,61.369846031978796,22.9
205,F,1,Salud,Publico,20.0,18.14,17.2,35.41,19.8,73.18,80.0,19.46,4.68,36.74,46.24,94.39,Medio,Financiamiento_familiar,Bajo,22.66,Con deuda,Impuntual,16.49,94.42,64.79,57.35,82.16,24.98,4.41,49.4,0,8.37032571792491,83.26645015862314,19.8
206,M,8,Ingenieria,Concertado,19.73,19.79,17.17,3.87,51.62,13.36,66.59,22.76,0.0,9.43,55.56,89.52,Medio,Pago_directo,Bajo,9.51,Sin deuda,Impuntual,43.66,96.36,76.39,85.36,55.45,15.9,3.64,36.15,0,2.0,96.18835206427717,51.62
207,M,2,Negocios,Concertado,8.05,6.95,6.34,65.64,52.08,9.69,63.48,2.19,91.37,4.36,45.31,66.16,Muy_bajo,Pago_directo,Muy_bajo,16.65,Con deuda,Puntual,17.86,46.78,22.33,24.19,17.98,43.91,1.4,79.84,0,95.0,31.675135549215298,52.08
208,F,6,Ciencias_Sociales,Publico,2.95,1.26,0.78,66.11,65.96,6.83,76.1,3.87,67.74,0.0,29.42,40.72,Bajo,Pago_directo,Bajo,11.74,Sin deuda,Impuntual,48.9,39.34,75.37,87.63,46.78,73.47,3.79,67.17,0,90.98895029310786,50.0026383298388,65.96
209,M,2,Artes,Publico,10.33,9.96,3.22,47.04,33.42,72.76,80.0,23.06,0.0,82.35,55.15,61.58,Muy_bajo,Financiamiento_familiar,Muy_bajo,12.3,Sin deuda,Puntual,64.74,54.33,30.38,1.9,96.81,48.72,5.92,1.33,0,68.50602192727249,100.0,33.42
210,M,5,Negocios,Privado,8.64,6.8,7.06,28.25,5.85,15.49,25.4,12.9,14.48,18.65,27.34,52.86,Bajo,Financiamiento_familiar,Bajo,6.43,Sin deuda,Puntual,50.9,56.01,73.86,73.25,75.3,65.36,4.69,90.84,0,65.97833292185125,75.23417013788014,5.85
211,F,5,Ingenieria,Publico,13.9,14.89,17.06,63.98,21.89,33.3,55.98,0.34,98.84,21.15,57.16,88.09,Medio,Beca_parcial,Muy_bajo,10.92,Sin deuda,Impuntual,43.01,84.9,89.65,93.31,81.12,47.14,5.99,57.24,0,56.62394465409688,37.146133464257005,21.89
212,F,4,Ingenieria,Publico,5.86,5.64,2.54,44.37,78.4,35.91,80.0,6.18,66.88,68.6,50.62,77.07,Bajo,Financiamiento_familiar,Bajo,11.3,Sin deuda,Puntual,58.47,50.73,46.99,65.72,3.28,41.22,3.96,77.39,0,73.91191001715413,68.45206931284498,78.4
213,F,3,Negocios,Publico,16.7,16.86,13.74,66.07,47.7,47.92,80.0,10.8,59.41,32.0,48.98,69.57,Bajo,Beca_parcial,Bajo,16.96,Sin deuda,Puntual,53.73,75.23,44.77,43.9,46.79,22.35,1.71,56.12,0,37.15088654853449,61.39038299784703,47.7
214,M,3,Salud,Concertado,5.62,3.85,1.96,50.52,56.78,5.74,63.49,16.63,5.55,45.6,43.87,53.67,Bajo,Financiamiento_familiar,Bajo,22.58,Sin deuda,Puntual,57.28,37.49,22.54,4.49,64.66,70.99,1.08,76.63,1,93.76478604976883,76.21914005155386,56.78
215,F,2,Ingenieria,Concertado,20.0,18.2,17.66,62.75,0.59,18.14,22.01,17.6,26.12,16.25,49.31,76.31,Muy_bajo,Credito,Bajo,7.9,Sin deuda,Puntual,47.58,96.34,89.31,92.01,83.0,23.92,2.82,6.74,0,6.0,73.87684254553261,0.59
216,M,7,Ciencias,Publico,13.49,13.91,6.87,47.89,41.46,74.52,80.0,23.89,0.0,95.97,62.8,71.69,Bajo,Beca_parcial,Muy_bajo,1.01,Sin deuda,Impuntual,39.13,66.53,34.4,47.03,4.93,27.81,5.19,25.77,0,50.20715931122629,100.0,41.46
217,M,6,Ingenieria,Publico,18.28,20.0,13.95,33.13,3.0,72.67,76.94,6.9,45.99,85.16,67.78,92.13,Medio,Beca_parcial,Bajo,11.91,Con deuda,Puntual,35.43,82.41,27.6,2.9,85.24,25.84,5.74,69.64,0,26.38167696755981,77.92735276977783,3.0
218,F,8,Negocios,Concertado,10.6,8.58,6.17,76.64,45.54,62.5,80.0,12.92,56.11,86.38,53.1,64.64,Alto,Beca_total,Bajo,13.07,Sin deuda,Puntual,97.04,64.15,64.74,68.98,54.84,52.81,2.77,0.0,0,26.884548933344764,81.08769823778246,45.54
219,F,1,Ciencias,Concertado,9.77,8.7,11.3,43.29,73.66,1.55,77.9,12.8,11.18,35.68,46.46,63.41,Medio,Pago_directo,Bajo,4.04,Sin deuda,Impuntual,41.89,54.84,39.65,48.18,19.73,51.63,3.97,0.0,0,67.74591827366405,95.39533238850913,73.66
220,F,5,Ciencias_Sociales,Publico,10.42,12.27,3.46,48.41,77.47,26.16,80.0,9.74,36.33,71.24,38.37,58.36,Muy_bajo,Pago_directo,Bajo,18.25,Con deuda,Puntual,23.56,49.03,18.22,12.43,31.73,39.11,3.53,74.31,0,76.45232356205764,73.76212230950618,77.47
221,F,7,Ingenieria,Privado,5.86,3.72,2.63,17.64,43.24,50.24,80.0,4.06,45.9,9.39,36.48,75.24,Medio,Financiamiento_familiar,Bajo,23.64,Sin deuda,Puntual,79.67,42.97,23.46,21.43,28.19,39.69,3.46,65.55,0,28.514608328375502,44.67421999381505,43.24
222,F,2,Ingenieria,Publico,20.0,20.0,16.89,50.05,36.66,22.02,62.54,23.46,0.0,0.86,43.16,78.65,Medio,Beca_parcial,Bajo,22.7,Con deuda,Puntual,36.58,79.09,20.44,6.45,53.09,46.49,2.39,0.0,0,31.367581137584427,77.47420926762835,36.66
223,M,1,Ciencias_Sociales,Publico,20.0,20.0,16.52,45.73,75.6,72.77,80.0,20.48,0.0,2.0,52.95,76.13,Medio,Beca_parcial,Muy_bajo,4.73,Con deuda,Puntual,47.53,84.77,41.75,57.43,5.17,40.31,1.82,67.43,0,22.852375193680217,100.0,75.6
224,M,5,Ingenieria,Privado,16.66,16.2,15.97,14.79,53.89,50.71,80.0,11.96,8.65,58.66,61.37,70.37,Bajo,Beca_total,Muy_bajo,21.01,Sin deuda,Puntual,66.86,77.45,48.3,62.2,15.85,34.84,2.18,59.68,0,5.636511056885843,78.47966322525322,53.89
225,M,4,Negocios,Publico,11.07,10.12,11.26,4.77,5.19,5.75,14.82,14.48,0.0,45.54,55.07,63.83,Bajo,Beca_parcial,Bajo,16.91,Sin deuda,Impuntual,49.04,64.09,59.78,50.57,81.27,50.5,1.33,43.01,0,17.956897751264435,70.17470463543857,5.19
226,M,6,Ingenieria,Concertado,15.26,14.25,14.55,48.35,37.26,72.72,80.0,5.45,56.88,46.8,44.22,93.05,Bajo,Pago_directo,Bajo,10.89,Sin deuda,Puntual,65.8,81.13,61.18,81.71,13.26,30.97,2.19,74.03,0,28.30870163940311,66.15457377053832,37.26
227,Other,1,Salud,Publico,3.6,2.63,1.24,61.1,19.22,76.62,80.0,13.05,31.03,0.75,33.79,54.36,Muy_bajo,Credito,Muy_bajo,12.97,Sin deuda,Impuntual,38.19,42.79,67.27,86.1,23.34,68.1,1.06,37.42,0,85.8203956433297,71.2531078343612,19.22
228,M,6,Ciencias,Publico,10.22,12.14,6.03,41.87,37.58,6.22,44.05,16.68,1.16,42.27,51.73,64.23,Muy_bajo,Credito,Bajo,20.39,Sin deuda,Impuntual,42.13,60.95,56.69,61.56,45.34,44.02,4.76,14.9,0,58.56823595329753,75.90815686974472,37.58
229,F,2,Negocios,Privado,10.63,11.75,5.65,18.14,36.44,42.59,80.0,12.36,0.0,71.81,53.72,69.32,Muy_bajo,Beca_parcial,Bajo,11.52,Con deuda,Puntual,16.51,53.38,16.41,1.28,51.71,39.6,2.9,23.99,0,23.310716187158135,96.28180161976152,36.44
230,F,1,Artes,Publico,15.23,16.08,11.44,53.32,46.57,24.27,71.6,23.77,0.0,44.27,39.83,78.1,Bajo,Credito,Bajo,8.96,Con deuda,Puntual,29.26,79.48,71.57,69.52,76.36,48.57,6.84,41.52,0,30.786548985346997,100.0,46.57
231,F,1,Ciencias_Sociales,Privado,9.74,11.23,6.41,6.41,28.54,31.43,64.12,14.67,0.0,68.22,38.57,62.23,Medio,Financiamiento_familiar,Bajo,11.84,Sin deuda,Puntual,79.79,54.43,42.68,41.8,44.73,45.25,2.16,35.13,0,22.78284003128006,93.86632020730012,28.54
232,F,6,Artes,Publico,5.71,4.5,2.67,35.35,13.14,14.37,29.29,8.9,33.8,18.3,20.68,42.72,Bajo,Financiamiento_familiar,Bajo,13.9,Con deuda,Puntual,35.39,42.84,63.28,56.56,78.99,74.44,3.07,71.56,0,85.73288232918233,55.519832937875044,13.14
233,F,5,Artes,Publico,17.01,17.6,10.74,13.07,40.3,46.25,80.0,18.53,0.0,81.31,57.5,77.28,Muy_bajo,Credito,Muy_bajo,4.54,Sin deuda,Impuntual,44.24,83.59,63.99,64.91,61.83,34.65,3.15,74.64,0,8.204587284059672,100.0,40.3
234,F,4,Salud,Publico,12.42,12.22,14.66,14.76,66.42,76.64,80.0,4.09,32.98,58.84,54.52,76.49,Alto,Beca_total,Bajo,21.62,Sin deuda,Puntual,100.0,62.6,27.91,35.02,11.31,50.48,1.05,13.14,0,9.349617783046163,60.27789989959423,66.42
235,M,2,Ingenieria,Concertado,9.92,11.33,6.88,16.18,53.12,40.25,80.0,9.23,4.63,21.08,46.1,65.91,Alto,Credito,Bajo,16.18,Con deuda,Puntual,77.5,63.11,68.89,91.71,15.63,64.94,6.04,33.08,0,18.44538635867872,75.94762890271413,53.12
236,F,6,Ciencias,Publico,5.87,4.92,2.38,30.94,27.07,6.63,35.69,8.33,28.2,23.67,34.58,75.21,Medio,Credito,Muy_bajo,15.2,Sin deuda,Puntual,74.13,42.56,22.49,13.4,43.7,45.39,1.19,1.18,0,86.1642053805967,56.96415350326329,27.07
237,M,3,Salud,Privado,3.77,4.49,3.54,4.09,74.84,49.6,80.0,10.36,4.79,62.8,36.13,52.75,Alto,Credito,Bajo,2.39,Sin deuda,Puntual,100.0,40.95,58.91,67.15,39.69,65.56,6.64,0.0,0,29.523617161546834,100.0,74.84
238,M,6,Ciencias_Sociales,Publico,10.35,12.26,4.27,31.82,72.98,27.22,80.0,18.76,0.0,77.99,48.11,50.83,Bajo,Pago_directo,Bajo,14.5,Sin deuda,Puntual,60.46,49.05,22.61,0.44,74.35,49.63,6.35,78.36,0,76.43094606568074,100.0,72.98
239,F,3,Salud,Privado,7.43,6.94,5.4,40.94,16.75,68.47,80.0,11.62,42.67,36.56,43.46,71.28,Alto,Financiamiento_familiar,Muy_bajo,2.9,Sin deuda,Puntual,100.0,61.28,82.15,92.47,58.07,66.98,4.21,0.0,0,58.085182688024474,86.67217334322108,16.75
240,M,3,Salud,Publico,15.73,13.56,11.57,38.66,3.15,34.77,41.68,19.06,0.0,20.83,54.84,72.44,Muy_bajo,Financiamiento_familiar,Muy_bajo,1.89,Sin deuda,Puntual,61.5,67.8,19.52,11.25,38.81,37.18,4.26,20.17,0,48.30391585316365,97.32455903014166,3.15
241,F,3,Ciencias,Privado,15.68,15.76,10.82,30.62,59.3,15.43,75.05,13.84,0.71,81.7,57.99,72.23,Bajo,Financiamiento_familiar,Bajo,12.66,Con deuda,Puntual,36.88,66.0,11.76,9.49,17.08,50.3,4.92,60.53,0,51.00280972697535,97.84245807195086,59.3
242,F,2,Negocios,Concertado,17.47,16.7,12.53,67.13,66.21,15.29,80.0,8.21,58.89,61.93,51.87,80.56,Muy_bajo,Financiamiento_familiar,Bajo,9.67,Sin deuda,Puntual,58.46,76.53,30.12,33.3,22.68,36.13,3.32,36.44,0,35.20214402498717,73.89274375537276,66.21
243,F,5,Negocios,Concertado,14.0,14.86,6.53,11.63,77.43,61.5,80.0,19.44,0.0,39.81,47.07,71.67,Muy_bajo,Financiamiento_familiar,Bajo,14.13,Sin deuda,Impuntual,31.09,68.48,43.41,37.36,57.55,37.37,4.88,83.13,0,15.761149195649537,96.06176406159514,77.43
244,M,3,Ingenieria,Privado,19.63,20.0,14.83,40.46,71.19,21.25,80.0,5.72,66.5,43.79,62.79,74.51,Muy_bajo,Financiamiento_familiar,Muy_bajo,2.14,Sin deuda,Puntual,45.71,80.91,27.7,21.43,42.34,21.28,1.27,25.3,1,28.637980925759425,73.66084945342956,71.19
245,M,2,Salud,Concertado,4.92,4.85,3.67,4.96,48.04,61.38,80.0,5.39,19.16,15.43,35.35,70.43,Medio,Pago_directo,Bajo,10.34,Sin deuda,Puntual,78.71,47.54,56.41,58.51,51.49,50.4,1.32,0.0,0,26.227738488772466,71.53572243644672,48.04
246,F,7,Salud,Concertado,8.48,8.31,8.44,5.69,42.4,16.47,61.75,12.11,0.0,62.68,40.33,73.86,Medio,Beca_parcial,Muy_bajo,4.19,Sin deuda,Puntual,71.72,52.73,36.12,44.29,17.07,55.02,3.74,12.07,0,23.635778352491556,98.98704912599398,42.4
247,M,3,Ingenieria,Publico,15.89,16.66,14.42,45.91,2.23,25.73,30.47,6.26,52.9,30.87,43.35,77.82,Bajo,Financiamiento_familiar,Bajo,23.69,Con deuda,Puntual,25.96,69.09,22.28,3.42,66.29,38.25,4.3,48.81,0,46.37196901773628,37.424473014296865,2.23
248,F,4,Ciencias_Sociales,Publico,3.78,1.8,3.24,45.28,19.73,37.24,59.42,0.22,72.89,94.56,34.76,57.57,Muy_bajo,Financiamiento_familiar,Bajo,13.47,Sin deuda,Impuntual,27.98,39.31,47.95,31.97,85.25,61.71,6.33,33.09,0,91.04038803529866,57.23778518523164,19.73
249,F,7,Negocios,Privado,8.86,7.63,1.98,70.24,36.77,75.46,80.0,15.56,31.39,43.02,43.05,50.91,Medio,Pago_directo,Bajo,16.5,Sin deuda,Puntual,76.59,55.3,64.47,81.04,25.79,47.73,1.63,35.49,0,67.05168497822213,78.50045029938325,36.77
250,F,4,Ingenieria,Concertado,16.78,18.87,15.91,44.63,50.28,74.54,80.0,12.27,36.94,43.59,46.95,67.99,Medio,Financiamiento_familiar,Bajo,7.81,Con deuda,Puntual,46.73,79.4,63.02,68.97,49.15,30.63,5.94,69.66,0,30.900753361272177,84.98729751424699,50.28
251,M,1,Artes,Concertado,13.05,13.9,6.17,76.78,44.58,16.55,64.91,10.69,43.0,51.59,42.04,67.86,Bajo,Financiamiento_familiar,Muy_bajo,2.27,Con deuda,Impuntual,16.29,73.8,80.01,72.49,97.55,30.66,2.26,82.25,0,39.307210163854464,84.84567106273022,44.58
252,M,7,Ciencias_Sociales,Publico,12.71,10.28,12.31,3.9,59.41,28.66,80.0,23.21,0.0,91.68,50.68,63.96,Medio,Beca_parcial,Muy_bajo,23.42,Sin deuda,Impuntual,52.9,67.55,58.87,69.81,33.32,50.54,3.36,8.6,0,16.225937219615616,99.07740018473635,59.41
253,F,4,Ingenieria,Publico,3.44,1.96,0.46,7.84,22.38,11.95,39.13,13.71,1.8,75.08,37.13,62.46,Bajo,Financiamiento_familiar,Bajo,6.87,Sin deuda,Puntual,57.32,37.83,39.62,31.1,59.5,78.77,2.9,37.21,0,31.08316078884823,93.67641788315275,22.38
254,M,2,Ciencias_Sociales,Publico,14.57,15.48,12.42,3.53,45.2,40.8,80.0,20.72,0.0,45.11,49.12,84.88,Bajo,Beca_parcial,Bajo,10.17,Sin deuda,Puntual,56.08,64.98,9.68,9.97,9.02,33.92,3.4,45.91,0,17.511352912752855,100.0,45.2
255,M,1,Ciencias,Concertado,8.32,9.64,5.69,14.82,7.05,36.85,47.31,3.35,40.62,71.87,53.36,77.27,Alto,Credito,Muy_bajo,15.6,Sin deuda,Impuntual,70.17,54.77,37.25,27.25,60.6,30.2,1.9,49.91,0,22.616728726419066,59.27520557554763,7.05
256,F,6,Negocios,Publico,6.61,8.31,1.0,43.3,33.09,72.06,80.0,13.66,2.08,58.62,31.81,63.34,Bajo,Beca_parcial,Muy_bajo,0.59,Sin deuda,Puntual,66.67,50.77,60.91,83.18,8.96,44.99,4.02,90.86,0,73.84626703182693,100.0,33.09
257,F,4,Ciencias,Publico,12.44,11.4,10.98,51.65,60.01,74.4,80.0,20.83,3.19,44.24,39.72,60.27,Bajo,Financiamiento_familiar,Bajo,19.45,Sin deuda,Impuntual,31.75,74.49,97.41,98.05,95.92,46.34,5.81,14.54,0,38.26314631928809,91.36527871912222,60.01
258,F,4,Salud,Publico,10.2,12.36,4.33,3.65,55.47,30.69,80.0,13.99,0.0,19.23,35.43,75.15,Medio,Credito,Bajo,12.88,Sin deuda,Impuntual,52.62,61.84,56.04,49.38,71.57,56.68,3.65,54.7,0,19.07981260721961,86.33690369190737,55.47
259,F,7,Ingenieria,Publico,6.85,7.11,6.96,75.68,79.25,39.34,80.0,17.23,42.55,46.39,38.17,58.23,Medio,Credito,Bajo,6.68,Con deuda,Impuntual,20.08,41.58,24.32,0.97,78.82,58.98,3.94,19.8,0,87.63017469533023,90.89169497753772,79.25
260,M,6,Artes,Concertado,5.29,6.27,1.45,67.37,22.23,71.7,80.0,8.93,44.51,19.58,30.65,50.35,Muy_bajo,Pago_directo,Bajo,1.48,Sin deuda,Puntual,55.53,36.61,30.93,14.0,70.41,47.54,6.09,0.0,0,95.0,81.70531944606137,22.23
261,F,1,Salud,Publico,3.95,4.43,2.65,23.73,39.86,64.54,80.0,2.22,39.47,91.48,34.29,55.62,Muy_bajo,Credito,Bajo,3.9,Sin deuda,Impuntual,43.53,37.27,40.24,32.21,58.97,65.78,5.24,0.0,0,94.09632204648707,85.92647863080798,39.86
262,Other,2,Ciencias,Concertado,8.16,6.27,5.36,6.18,26.36,0.29,27.44,10.99,0.0,28.54,45.45,72.36,Muy_bajo,Financiamiento_familiar,Bajo,21.48,Sin deuda,Puntual,45.63,56.54,54.0,57.86,44.99,57.86,3.94,41.56,0,21.732111763530455,60.6360084706087,26.36
263,M,2,Ingenieria,Publico,3.81,6.13,1.62,13.59,35.25,25.6,63.53,9.47,3.2,90.23,48.82,72.91,Medio,Financiamiento_familiar,Muy_bajo,16.46,Sin deuda,Impuntual,55.47,40.39,31.01,7.51,85.84,50.0,2.55,30.83,0,29.806662600371723,84.98620969617082,35.25
264,F,5,Salud,Publico,15.95,14.06,16.39,10.16,68.56,33.74,80.0,20.81,0.0,53.31,48.72,65.52,Bajo,Beca_total,Bajo,6.0,Sin deuda,Puntual,51.04,84.81,94.74,94.34,95.68,32.31,6.31,0.0,0,3.796863409677456,100.0,68.56
265,F,1,Ingenieria,Publico,8.62,7.39,0.11,9.86,54.74,18.38,76.83,5.86,25.88,58.15,30.98,73.4,Muy_bajo,Pago_directo,Bajo,1.57,Con deuda,Puntual,15.76,53.13,40.53,36.51,49.9,45.7,4.46,64.19,0,23.43523783154533,89.76422447120918,54.74
266,F,4,Ciencias_Sociales,Publico,14.74,16.31,8.71,41.48,70.6,15.97,80.0,23.2,0.0,54.29,56.99,63.14,Alto,Beca_total,Bajo,16.57,Con deuda,Puntual,68.6,81.29,91.83,91.26,93.15,42.43,2.33,0.0,0,14.03121502191027,99.84044204243995,70.6
